Month,Year,Precipitation
1,2000,153
2,2000,184
3,2000,240
4,2000,284
5,2000,131
6,2000,4
7,2000,0
8,2000,0
9,2000,0
10,2000,84
11,2000,96
12,2000,132
1,2001,103
2,2001,75
3,2001,202
4,2001,48
5,2001,0
6,2001,87
7,2001,0
8,2001,0
9,2001,0
10,2001,5
11,2001,106
12,2001,189
1,2002,102
2,2002,208
3,2002,41
4,2002,103
5,2002,1
6,2002,0
7,2002,0
8,2002,2
9,2002,1
10,2002,0
11,2002,29
12,2002,141
1,2003,200
2,2003,282
3,2003,143
4,2003,218
5,2003,0
6,2003,23
7,2003,0
8,2003,1
9,2003,0
10,2003,17
11,2003,99
12,2003,166
1,2004,76
2,2004,202
3,2004,135
4,2004,5
5,2004,11
6,2004,10
7,2004,0
8,2004,0
9,2004,0
10,2004,0
11,2004,11
12,2004,73
1,2005,53
2,2005,53
3,2005,97
4,2005,60
5,2005,0
6,2005,0
7,2005,0
8,2005,0
9,2005,0
10,2005,49
11,2005,87
12,2005,113
1,2006,117
2,2006,137
3,2006,282
4,2006,233
5,2006,65
6,2006,6
7,2006,0
8,2006,0
9,2006,0
10,2006,0
11,2006,0
12,2006,128
1,2007,90
2,2007,154
3,2007,179
4,2007,209
5,2007,22
6,2007,7
7,2007,1
8,2007,3
9,2007,0
10,2007,0
11,2007,87
12,2007,231
1,2008,40
2,2008,270
3,2008,163
4,2008,40
5,2008,15
6,2008,0
7,2008,0
8,2008,0
9,2008,0
10,2008,0
11,2008,63
12,2008,256
1,2009,131
2,2009,163
3,2009,196
4,2009,0
5,2009,115
6,2009,0
7,2009,3
8,2009,0
9,2009,11
10,2009,2
11,2009,5
12,2009,122
1,2010,132
2,2010,36
3,2010,53
4,2010,202
5,2010,55
6,2010,2
7,2010,62
8,2010,1
9,2010,94
10,2010,128
11,2010,100
12,2010,229
1,2011,229
2,2011,316
3,2011,273
4,2011,159
5,2011,10
6,2011,0
7,2011,0
8,2011,0
9,2011,0
10,2011,2
11,2011,40
12,2011,78
1,2012,199
2,2012,182
3,2012,253
4,2012,65
5,2012,64
6,2012,0
7,2012,0
8,2012,0
9,2012,2
10,2012,0
11,2012,47
12,2012,176
1,2013,243
2,2013,249
3,2013,76
4,2013,93
5,2013,62
6,2013,92
7,2013,9
8,2013,0
9,2013,0
10,2013,0
11,2013,103
12,2013,258
1,2014,50
2,2014,183
3,2014,120
4,2014,81
5,2014,0
6,2014,0
7,2014,0
8,2014,0
9,2014,0
10,2014,0
11,2014,13
12,2014,96.2
1,2015,159
2,2015,141.5
3,2015,186.3
4,2015,126.8
5,2015,3.4
6,2015,0.2
7,2015,0.1
8,2015,0
9,2015,0
10,2015,0
11,2015,0
12,2015,167.2
1,2016,153.9
2,2016,58.3
3,2016,124
4,2016,33.8
5,2016,89.4
6,2016,38.4
7,2016,20.1
8,2016,10.5
9,2016,9
10,2016,12
11,2016,6.7
12,2016,64
1,2017,147
2,2017,271.3
3,2017,138.4
4,2017,53.9
5,2017,4
6,2017,3.3
7,2017,0
8,2017,1.4
9,2017,0
10,2017,13.2
11,2017,203.3
12,2017,189.3
1,2018,285.3
2,2018,237.9
3,2018,174.6
4,2018,19.3
5,2018,0
6,2018,0
7,2018,0
8,2018,7.6
9,2018,0
10,2018,0
11,2018,128.2
12,2018,59.2
